name,level,city,county,state,country,cases,deaths,recovered,tested,active,population,lat,long,url,aggregate,rating,tz,featureId,stateId,countryId,hospitalized,countyId,publishedDate
AFG,country,,,,AFG,281,6,10,,265,34124811,33.930139364000084,67.6895422770001,https://github.com/CSSEGISandData/COVID-19,country,0.5490196078431373,Asia/Kabul,0,,,,,
ALB,country,,,,ALB,304,17,89,,198,3047987,41.11245290150006,20.154355916000085,https://github.com/CSSEGISandData/COVID-19,country,0.5490196078431373,Europe/Tirane,1,,,,,
DZA,country,,,,DZA,1171,105,62,,1004,40969443,28.032339379000085,1.6432377520000898,https://github.com/CSSEGISandData/COVID-19,country,0.5490196078431373,Africa/Algiers,2,,,,,
AND,country,,,,AND,439,16,16,,407,85702,42.51501586950006,1.5681518960000886,https://github.com/CSSEGISandData/COVID-19,country,0.5490196078431373,Europe/Andorra,3,,,,,
AGO,country,,,,AGO,8,2,1,,5,29310273,-11.211304219499908,17.89885628300003,https://github.com/CSSEGISandData/COVID-19,country,0.5490196078431373,Africa/Luanda,4,,,,,
ATG,country,,,,ATG,15,0,0,,15,94731,17.098659572500083,-61.78465735599994,https://github.com/CSSEGISandData/COVID-19,country,0.5490196078431373,America/Antigua,5,,,,,
ARG,country,,,,ARG,1265,39,266,,960,44293293,-38.42173074799991,-63.626654215499926,https://github.com/CSSEGISandData/COVID-19,country,0.5490196078431373,America/Argentina/Salta,6,,,,,
ARM,country,,,,ARM,736,7,43,,686,3045191,40.077076823500036,45.01914310700013,https://github.com/CSSEGISandData/COVID-19,country,0.5490196078431373,Asia/Yerevan,7,,,,,
"Australian Capital Territory, AUS",state,,,Australian Capital Territory,AUS,91,1,18,,72,426709,-35.53036325446061,149.06023522322693,https://github.com/CSSEGISandData/COVID-19,state,0.5882352941176471,Australia/Sydney,8,,,,,
"New South Wales, AUS",state,,,New South Wales,AUS,2389,12,4,,2373,8089526,-32.82977854599065,147.3153664483503,https://github.com/CSSEGISandData/COVID-19,state,0.5882352941176471,Australia/Sydney,9,,,,,
"Northern Territory, AUS",state,,,Northern Territory,AUS,22,0,0,,22,245869,-18.516157321898987,133.50015133877957,https://github.com/CSSEGISandData/COVID-19,state,0.5882352941176471,Australia/Darwin,10,,,,,
"Queensland, AUS",state,,,Queensland,AUS,873,4,8,,861,5095100,-19.64674041161055,145.75436445400004,https://github.com/CSSEGISandData/COVID-19,state,0.5882352941176471,Australia/Brisbane,11,,,,,
"South Australia, AUS",state,,,South Australia,AUS,396,0,46,,350,1751693,-32.035240980898976,135.0000995213503,https://github.com/CSSEGISandData/COVID-19,state,0.5882352941176471,Australia/Adelaide,12,,,,,
"Tasmania, AUS",state,,,Tasmania,AUS,74,2,5,,67,534281,-41.60023365649994,146.16134687600004,https://github.com/CSSEGISandData/COVID-19,state,0.5882352941176471,Australia/Hobart,13,,,,,
"Victoria, AUS",state,,,Victoria,AUS,1085,7,476,,602,6594804,-36.537788791607284,145.4695804428331,https://github.com/CSSEGISandData/COVID-19,state,0.5882352941176471,Australia/Melbourne,14,,,,,
"Western Australia, AUS",state,,,Western Australia,AUS,400,2,92,,306,2621680,-24.407891534499925,120.95978010457588,https://github.com/CSSEGISandData/COVID-19,state,0.5882352941176471,Australia/Perth,15,,,,,
AUT,country,,,,AUT,11524,168,2022,,9334,8754413,47.71313527500007,13.334746337500093,https://github.com/CSSEGISandData/COVID-19,country,0.5490196078431373,Europe/Vienna,16,,,,,
AZE,country,,,,AZE,443,5,32,,406,9961396,40.14320973750006,47.50227481750011,https://github.com/CSSEGISandData/COVID-19,country,0.5490196078431373,Asia/Baku,17,,,,,
BHS,country,,,,BHS,24,1,1,,22,329988,23.91563150400006,-75.74170392899993,https://github.com/CSSEGISandData/COVID-19,country,0.5490196078431373,America/Nassau,18,,,,,
BHR,country,,,,BHR,672,4,382,,286,1410942,26.024400132000068,50.53386477950008,https://github.com/CSSEGISandData/COVID-19,country,0.5490196078431373,Asia/Bahrain,19,,,,,
BGD,country,,,,BGD,61,6,26,,29,157826578,23.73811778050007,90.33232039450004,https://github.com/CSSEGISandData/COVID-19,country,0.5490196078431373,Asia/Dhaka,20,,,,,
BRB,country,,,,BRB,51,0,0,,51,292336,13.189886786000045,-59.54055742099993,https://github.com/CSSEGISandData/COVID-19,country,0.5490196078431373,America/Barbados,21,,,,,
BLR,country,,,,BLR,351,4,53,,294,9549747,53.72384073950006,27.942588541500044,https://github.com/CSSEGISandData/COVID-19,country,0.5490196078431373,Europe/Minsk,22,,,,,
BEL,country,,,,BEL,16770,1143,2872,,12755,11491346,50.49042053300006,4.4297657472728815,https://github.com/CSSEGISandData/COVID-19,country,0.5490196078431373,Europe/Brussels,23,,,,,
BEN,country,,,,BEN,16,0,2,,14,11038805,9.306569115000109,2.3030941155000306,https://github.com/CSSEGISandData/COVID-19,country,0.5490196078431373,Africa/Porto-Novo,24,,,,,
BTN,country,,,,BTN,5,0,2,,3,758288,27.518180482737833,90.40745792650009,https://github.com/CSSEGISandData/COVID-19,country,0.5490196078431373,Asia/Thimphu,25,,,,,
BOL,country,,,,BOL,132,9,1,,122,11138234,-16.286937560999938,-63.58694087799992,https://github.com/CSSEGISandData/COVID-19,country,0.5490196078431373,America/La_Paz,26,,,,,
BIH,country,,,,BIH,579,17,27,,535,3856181,43.91899993950011,17.668099406000096,https://github.com/CSSEGISandData/COVID-19,country,0.5490196078431373,Europe/Sarajevo,27,,,,,
BRN,country,,,,BRN,134,1,65,,68,443593,4.510995486500057,114.66157535500005,https://github.com/CSSEGISandData/COVID-19,country,0.5490196078431373,Asia/Brunei,28,,,,,
BGR,country,,,,BGR,485,14,30,,441,7101510,42.73391529800004,25.47427473600007,https://github.com/CSSEGISandData/COVID-19,country,0.5490196078431373,Europe/Sofia,29,,,,,
BFA,country,,,,BFA,302,16,50,,236,20107509,12.230804951500069,-1.5662045904998934,https://github.com/CSSEGISandData/COVID-19,country,0.5490196078431373,Africa/Ouagadougou,30,,,,,
CPV,country,,,,CPV,6,1,0,,5,560899,16.066066799000083,-23.999460415499925,https://github.com/CSSEGISandData/COVID-19,country,0.5490196078431373,Atlantic/Cape_Verde,31,,,,,
KHM,country,,,,KHM,114,0,35,,79,16204486,12.56212270450002,104.96757694500008,https://github.com/CSSEGISandData/COVID-19,country,0.5490196078431373,Asia/Phnom_Penh,32,,,,,
CMR,country,,,,CMR,509,8,17,,484,24994885,7.407972718000032,12.350860429500074,https://github.com/CSSEGISandData/COVID-19,country,0.5490196078431373,Africa/Douala,33,,,,,
CAF,country,,,,CAF,8,0,0,,8,5625118,6.61864105250006,20.91950301100013,https://github.com/CSSEGISandData/COVID-19,country,0.5490196078431373,Africa/Bangui,34,,,,,
TCD,country,,,,TCD,8,0,0,,8,12075985,15.451357727500067,18.71679508450009,https://github.com/CSSEGISandData/COVID-19,country,0.5490196078431373,Africa/Ndjamena,35,,,,,
CHL,country,,,,CHL,3737,22,427,,3288,17789267,-36.567062457499944,-71.3604937374999,https://github.com/CSSEGISandData/COVID-19,country,0.5490196078431373,America/Santiago,36,,,,,
"Anhui, CHN",state,,,Anhui,CHN,990,6,984,,0,63240000,32.02378204990168,117.2581712176775,https://github.com/CSSEGISandData/COVID-19,state,0.5882352941176471,Asia/Shanghai,37,,,,,
"Beijing, CHN",state,,,Beijing,CHN,584,8,434,,142,21540000,40.236575323991985,116.42780846573805,https://github.com/CSSEGISandData/COVID-19,state,0.5882352941176471,Asia/Shanghai,38,,,,,
"Chongqing, CHN",state,,,Chongqing,CHN,579,6,570,,3,31020000,30.198712571927643,107.73296451180275,https://github.com/CSSEGISandData/COVID-19,state,0.5882352941176471,Asia/Shanghai,39,,,,,
"Fujian, CHN",state,,,Fujian,CHN,349,1,300,,48,39410000,25.971159641604146,118.13227705193037,https://github.com/CSSEGISandData/COVID-19,state,0.5882352941176471,Asia/Shanghai,40,,,,,
"Gansu, CHN",state,,,Gansu,CHN,138,2,127,,9,26370000,37.69770367228662,100.73804263765757,https://github.com/CSSEGISandData/COVID-19,state,0.5882352941176471,Asia/Shanghai,41,,,,,
"Guangdong, CHN",state,,,Guangdong,CHN,1514,8,1368,,138,113460000,22.876783758944043,113.41792352680932,https://github.com/CSSEGISandData/COVID-19,state,0.5882352941176471,Asia/Shanghai,42,,,,,
