city,county,state,country,cases,deaths,recovered,tested,active,population,lat,long,url,maintainers,rating,tz,featureId,sources,curators
,,,THA,599,1,44,,554,68414135,13.04083302850006,101.54455590850003,https://github.com/CSSEGISandData/COVID-19,"[{""name"":""Larry Davis"",""email"":""lazdnet@gmail.com"",""twitter"":""lazdnet"",""github"":""lazd"",""country"":""USA"",""state"":""CA"",""county"":""San Francisco"",""city"":""San Francisco"",""flag"":""🇺🇸""}]",0.4146341463414634,"[""Asia/Bangkok""]",0,,
,,,JPN,1086,40,235,,811,126451398,37.87307291750005,137.65978516150005,https://github.com/CSSEGISandData/COVID-19,"[{""name"":""Larry Davis"",""email"":""lazdnet@gmail.com"",""twitter"":""lazdnet"",""github"":""lazd"",""country"":""USA"",""state"":""CA"",""county"":""San Francisco"",""city"":""San Francisco"",""flag"":""🇺🇸""}]",0.4146341463414634,"[""Asia/Tokyo""]",1,,
,,,SGP,455,2,144,,309,5888926,1.3585676125000532,103.80420983150006,https://github.com/CSSEGISandData/COVID-19,"[{""name"":""Larry Davis"",""email"":""lazdnet@gmail.com"",""twitter"":""lazdnet"",""github"":""lazd"",""country"":""USA"",""state"":""CA"",""county"":""San Francisco"",""city"":""San Francisco"",""flag"":""🇺🇸""}]",0.4146341463414634,"[""Asia/Singapore""]",2,,
,,,NPL,2,0,1,,1,29384297,28.38379831950006,84.1027264815001,https://github.com/CSSEGISandData/COVID-19,"[{""name"":""Larry Davis"",""email"":""lazdnet@gmail.com"",""twitter"":""lazdnet"",""github"":""lazd"",""country"":""USA"",""state"":""CA"",""county"":""San Francisco"",""city"":""San Francisco"",""flag"":""🇺🇸""}]",0.4146341463414634,"[""Asia/Kathmandu""]",3,,
,,,MYS,1306,10,139,,1157,31381992,3.9309068840000734,109.69719485800007,https://github.com/CSSEGISandData/COVID-19,"[{""name"":""Larry Davis"",""email"":""lazdnet@gmail.com"",""twitter"":""lazdnet"",""github"":""lazd"",""country"":""USA"",""state"":""CA"",""county"":""San Francisco"",""city"":""San Francisco"",""flag"":""🇺🇸""}]",0.4146341463414634,"[""Etc/GMT-7""]",4,,
,,,KHM,84,0,1,,83,16204486,12.56212270450002,104.96757694500008,https://github.com/CSSEGISandData/COVID-19,"[{""name"":""Larry Davis"",""email"":""lazdnet@gmail.com"",""twitter"":""lazdnet"",""github"":""lazd"",""country"":""USA"",""state"":""CA"",""county"":""San Francisco"",""city"":""San Francisco"",""flag"":""🇺🇸""}]",0.4146341463414634,"[""Asia/Phnom_Penh""]",5,,
,,,LKA,82,0,3,,79,22409381,7.8766543645000695,80.82227623750006,https://github.com/CSSEGISandData/COVID-19,"[{""name"":""Larry Davis"",""email"":""lazdnet@gmail.com"",""twitter"":""lazdnet"",""github"":""lazd"",""country"":""USA"",""state"":""CA"",""county"":""San Francisco"",""city"":""San Francisco"",""flag"":""🇺🇸""}]",0.4146341463414634,"[""Asia/Colombo""]",6,,
,,,DEU,24873,94,266,,24513,80594017,51.09924480150008,10.473758178500105,https://github.com/CSSEGISandData/COVID-19,"[{""name"":""Larry Davis"",""email"":""lazdnet@gmail.com"",""twitter"":""lazdnet"",""github"":""lazd"",""country"":""USA"",""state"":""CA"",""county"":""San Francisco"",""city"":""San Francisco"",""flag"":""🇺🇸""}]",0.4146341463414634,"[""Europe/Berlin""]",7,,
,,,FIN,626,1,10,,615,5491218,64.9866635165001,26.09634464500006,https://github.com/CSSEGISandData/COVID-19,"[{""name"":""Larry Davis"",""email"":""lazdnet@gmail.com"",""twitter"":""lazdnet"",""github"":""lazd"",""country"":""USA"",""state"":""CA"",""county"":""San Francisco"",""city"":""San Francisco"",""flag"":""🇺🇸""}]",0.4146341463414634,"[""Europe/Helsinki""]",8,,
,,,ARE,153,2,38,,113,6072475,24.340997059161296,53.97632897200003,https://github.com/CSSEGISandData/COVID-19,"[{""name"":""Larry Davis"",""email"":""lazdnet@gmail.com"",""twitter"":""lazdnet"",""github"":""lazd"",""country"":""USA"",""state"":""CA"",""county"":""San Francisco"",""city"":""San Francisco"",""flag"":""🇺🇸""}]",0.4146341463414634,"[""Asia/Dubai""]",9,,
